hospital_id,state,district,city,hospital_name,latitude,longitude,total_beds,occupied_beds,available_beds,icu_beds,available_icu_beds,emergency_beds,available_emergency_beds,emergency_24x7,accepts_referral,ambulance,oxygen_support,ventilator,blood_bank,cardiology,neurology,nephrology,pulmonology,orthopedics,general_medicine,general_surgery,trauma_unit,burn_unit,ct_scan,mri,xray,ultrasound,ecg,dialysis,blood_test,cbc,troponin_test,dengue_ns1_test,malaria_test,blood_glucose_test,hba1c_test,kidney_function_test,pulmonary_function_test,blood_culture,lactate_test,stool_test
GH00028,Maharashtra,Nashik,Nashik,State Nashik General Hospital,19.975483,73.802694,813,780,33,121,26,78,8,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GH00029,Delhi,North Delhi,North Delhi,State North Delhi Medical College Hospital,28.761986,77.173878,159,153,6,19,10,16,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
GH00030,Bihar,Begusarai,Begusarai,Regional Begusarai Medical College Hospital,25.351881,86.080462,158,144,14,9,4,10,5,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
GH00031,Uttar Pradesh,Noida,Noida,District Noida Medical College Hospital,28.477797,77.444589,692,650,42,37,17,54,9,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
GH00032,Rajasthan,Ajmer,Ajmer,State Ajmer District Hospital,26.466404,74.599156,309,234,75,22,5,18,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No
GH00033,Tamil Nadu,Madurai,Madurai,District Madurai Hospital,9.888743,78.134237,569,335,234,32,10,48,20,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
GH00034,West Bengal,Kolkata,Kolkata,Government Kolkata District Hospital,22.647969,88.434983,391,235,156,36,1,38,0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No
GH00035,Karnataka,Bengaluru,Bengaluru,Integrated Bengaluru District Hospital,13.051269,77.570714,779,442,337,112,48,53,24,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
GH00036,Karnataka,Mysuru,Mysuru,State Mysuru District Hospital,12.290584,76.657546,719,466,253,87,31,70,19,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
GH00037,Karnataka,Hubballi,Hubballi,State Hubballi Hospital,15.299338,75.184394,194,178,16,17,5,10,3,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
GH00038,Delhi,South Delhi,South Delhi,Government South Delhi General Hospital,28.560852,77.447093,664,550,114,70,28,36,14,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
GH00039,Karnataka,Bengaluru,Bengaluru,State Bengaluru Medical College Hospital,13.013364,77.601203,540,335,205,29,4,60,5,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
GH00040,Bihar,Darbhanga,Darbhanga,Government Darbhanga Medical College Hospital,26.23374,85.879989,782,443,339,66,7,92,37,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
GH00041,Uttar Pradesh,Varanasi,Varanasi,Government Varanasi General Hospital,25.37658,83.018155,125,84,41,15,3,13,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
GH00042,Uttar Pradesh,Prayagraj,Prayagraj,Government Prayagraj Hospital,25.49342,81.891076,491,468,23,26,6,32,2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No
GH00043,West Bengal,Durgapur,Durgapur,Government Durgapur Medical College Hospital,23.448715,87.318507,124,104,20,8,2,10,5,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
GH00044,Maharashtra,Nagpur,Nagpur,Integrated Nagpur General Hospital,21.225213,79.164167,795,671,124,66,32,46,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes
GH00045,Delhi,West Delhi,West Delhi,State West Delhi Hospital,28.688998,77.058151,211,181,30,19,5,16,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
GH00046,Punjab,Amritsar,Amritsar,Regional Amritsar Medical College Hospital,31.686621,74.861242,360,191,169,43,22,31,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
GH00047,West Bengal,Siliguri,Siliguri,District Siliguri District Hospital,26.64789,88.46759,738,529,209,85,36,74,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No
GH00048,Karnataka,Mangaluru,Mangaluru,Integrated Mangaluru General Hospital,12.942342,74.810508,434,320,114,51,9,25,7,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
GH00049,Gujarat,Surat,Surat,Regional Surat District Hospital,21.152369,72.822891,515,257,258,41,15,41,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes
GH00050,Rajasthan,Bikaner,Bikaner,State Bikaner General Hospital,28.091226,73.241543,552,502,50,64,0,45,0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
GH00051,Delhi,New Delhi,New Delhi,State New Delhi District Hospital,28.686125,77.225258,195,193,2,14,3,12,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
GH00052,Delhi,New Delhi,New Delhi,District New Delhi Medical College Hospital,28.596445,77.224116,586,330,256,55,0,55,22,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
GH00053,Gujarat,Rajkot,Rajkot,Civil Rajkot Medical College Hospital,22.309173,70.774093,251,208,43,29,12,26,10,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
GH00054,Delhi,West Delhi,West Delhi,Civil West Delhi Hospital,28.671474,77.05136,670,462,208,94,40,54,2,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
GH00055,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,Regional Tiruchirappalli District Hospital,10.836905,78.673449,873,662,211,97,3,98,22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
GH00056,Karnataka,Hubballi,Hubballi,Government Hubballi General Hospital,15.301606,75.146532,560,412,148,70,18,58,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
GH00057,Tamil Nadu,Coimbatore,Coimbatore,State Coimbatore General Hospital,11.008766,76.90694,179,125,54,13,2,12,2,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
GH00058,Punjab,Ludhiana,Ludhiana,Government Ludhiana Medical College Hospital,30.897163,75.837442,492,423,69,32,10,26,7,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
GH00059,West Bengal,Asansol,Asansol,Civil Asansol General Hospital,23.605301,86.874337,163,107,56,21,5,18,0,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
GH00060,Bihar,Munger,Munger,Civil Munger Hospital,25.341652,86.550295,460,306,154,57,2,51,0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No
GH00061,Gujarat,Gandhinagar,Gandhinagar,Integrated Gandhinagar Medical College Hospital,23.259832,72.661886,599,411,188,46,8,31,6,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
GH00062,Gujarat,Surat,Surat,Civil Surat Medical College Hospital,21.154439,72.879111,737,641,96,38,7,67,33,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
GH00063,Punjab,Bathinda,Bathinda,Civil Bathinda Medical College Hospital,30.230134,74.922379,987,729,258,67,18,75,25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GH00064,Tamil Nadu,Madurai,Madurai,State Madurai General Hospital,9.962906,78.199536,384,384,0,55,15,25,12,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes
GH00065,Tamil Nadu,Chennai,Chennai,Integrated Chennai Hospital,13.024057,80.203596,458,286,172,52,2,53,26,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
GH00066,Bihar,Muzaffarpur,Muzaffarpur,Government Muzaffarpur Hospital,26.105475,85.366575,736,446,290,54,12,71,0,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
GH00067,Uttar Pradesh,Gorakhpur,Gorakhpur,Integrated Gorakhpur District Hospital,26.691427,83.406454,885,630,255,59,11,103,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
GH00068,Punjab,Hoshiarpur,Hoshiarpur,Government Hoshiarpur District Hospital,31.506498,75.989098,210,179,31,11,4,18,3,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No
GH00069,Gujarat,Surat,Surat,District Surat Medical College Hospital,21.134505,72.908463,204,191,13,25,0,19,9,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
GH00070,Rajasthan,Jaipur,Jaipur,State Jaipur General Hospital,26.969708,75.83835,777,577,200,44,2,57,2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
GH00071,Gujarat,Rajkot,Rajkot,District Rajkot General Hospital,22.333712,70.733343,470,397,73,65,4,46,10,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No
GH00072,Delhi,West Delhi,West Delhi,Integrated West Delhi District Hospital,28.589415,77.104708,730,640,90,93,18,58,6,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
GH00073,Rajasthan,Udaipur,Udaipur,State Udaipur Medical College Hospital,24.649863,73.768862,950,519,431,73,9,63,3,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No
GH00074,Rajasthan,Ajmer,Ajmer,Integrated Ajmer General Hospital,26.440841,74.657034,444,229,215,44,12,27,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
GH00075,West Bengal,Durgapur,Durgapur,State Durgapur District Hospital,23.441281,87.233126,710,496,214,74,4,82,36,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
GH00076,Uttar Pradesh,Noida,Noida,Civil Noida Medical College Hospital,28.60831,77.442392,807,646,161,92,15,65,32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
